Time,Lon,Lat,Mag,Depth,Description
2011-10-21T17:57:17.310000Z,-176.0332,-28.8809,7.4,34800.0,KERMADEC ISLANDS REGION
2011-10-27T00:15:24.420000Z,-179.4302,-17.9419,6.0,606000.0,FIJI ISLANDS REGION
2011-10-28T18:54:34.750000Z,-76.1207,-14.5572,7.0,29000.0,NEAR COAST OF PERU
2011-11-01T12:32:03.770000Z,-109.1734,19.8381,6.2,30000.0,REVILLA GIGEDO ISLANDS REGION
2011-11-07T22:35:25.320000Z,-85.7838,11.6918,6.0,177200.0,NICARAGUA
2011-11-08T02:59:08.670000Z,125.7234,27.2502,6.9,228200.0,NORTHEAST OF TAIWAN
2011-11-14T04:05:12.500000Z,126.8799,-0.953,6.4,24400.0,SOUTHERN MOLUCCA SEA
2011-11-17T01:57:04.790000Z,-81.7057,-1.7479,6.0,19600.0,OFF COAST OF ECUADOR
2011-11-22T18:48:16.290000Z,-65.1634,-15.3083,6.6,560300.0,CENTRAL BOLIVIA
2011-11-23T19:24:32.250000Z,141.4629,37.3769,6.1,42700.0,"NEAR EAST COAST OF HONSHU, JAPAN"
2011-11-24T10:25:34.930000Z,142.7973,41.8917,6.2,48200.0,"HOKKAIDO, JAPAN REGION"
2011-11-28T12:26:47.640000Z,153.801,-5.5101,6.1,43200.0,"NEW IRELAND REGION, P.N.G."
2011-11-30T00:27:08.880000Z,119.0982,15.4295,6.0,21100.0,"LUZON, PHILIPPINES"
2011-12-07T22:23:07.780000Z,-71.1344,-27.9324,6.1,13800.0,NEAR COAST OF NORTHERN CHILE
2011-12-11T01:47:25.400000Z,-99.9298,17.9024,6.5,65400.0,"GUERRERO, MEXICO"
2011-12-11T09:54:56.480000Z,-28.2135,-56.049,6.3,130600.0,SOUTH SANDWICH ISLANDS REGION
2011-12-13T07:52:12.030000Z,123.0631,0.0473,6.1,167400.0,"MINAHASSA PENINSULA, SULAWESI"
2011-12-14T05:04:57.810000Z,146.814,-7.5278,7.1,128500.0,"EASTERN NEW GUINEA REG., P.N.G."
2011-12-26T04:48:06.170000Z,-173.7235,-16.112,6.0,66900.0,TONGA ISLANDS
2012-01-01T05:27:55.800000Z,138.1834,31.4682,6.8,359700.0,"SOUTHEAST OF HONSHU, JAPAN"
